Neighborhood,City,County,Size Rank,"LIHTC Present? (0 = No, 1 = Yes)",Number of Units (2000),Population (2000),Proportion of Homeowners (2000),Median Income (2000),Number of Units (2010),Population (2010),Proportion of Homeowners (2010),Median Income (2010),Number of Units (2015),Population (2015),Proportion of Homeowners (2015),Median Income (2015)
Nevin Community,Charlotte,Mecklenburg,2890,1,2661.935019,6579.072587,0.683840897,38783.85313,1600.075228,3310.436603,0.914659336,126382.8091,1730.946597,3006.137756,0.956285242,128711.1534
New Sherwood Forest,Winston-Salem,Forsyth,4726,0,3065.179576,6802.408231,0.888871612,69382.47195,1473.784722,3177.703947,0.681162673,58687.80451,1380.482533,3393.689194,0.602603122,48915.30305
Newell,Charlotte,Mecklenburg,1978,0,2316.052636,5722.492557,0.83827851,62841.58419,1230.923316,3667.202136,0.692307237,37063.39301,1344.738252,3393.197996,0.773175672,53323.62618
Newell South,Charlotte,Mecklenburg,3138,0,1172.047425,2913.929356,0.794498485,47074.78248,1336.79166,2778,0.445578231,23214,1311.827158,3465,0.340548341,32150
North Central,Raleigh,Wake,1731,1,1271.774199,3090.985385,0.34297639,29136.75288,1351.690762,2093.739511,0.659551555,50120.29839,1500.809999,2478.906589,0.528355809,68162.22042
North Charlotte,Charlotte,Mecklenburg,3454,1,1133.02118,2506.652413,0.430391502,25779.01786,1309.671609,6526,0.931306751,85492,1339.193404,6777,0.914122137,91741
North East Winston,Winston-Salem,Forsyth,4483,0,1316.895421,3228.053086,0.275977021,15777.14474,1282.330828,3583,0.86013463,56813,1131.387438,4048,0.741750359,39625
North Lake,Charlotte,Mecklenburg,2076,0,2879.243233,8026.56618,0.881994219,55897.51573,1483.244671,5737.131099,0.701236082,78978.20929,2064.370465,6319.328169,0.671746972,78541.35625
North Raleigh,Raleigh,Wake,67,1,3275.581966,7947.810573,0.702916193,65775.00021,2569.78095,3020.207986,0.464251673,33213.37706,2784.127523,4147.103256,0.370611874,38452.82898
North Sharon Amity,Charlotte,Mecklenburg,1435,0,3129.008569,6941.654364,0.490502925,40227.76694,1720.434137,3173.071799,0.416558798,24071.3911,1772.65101,3589.829346,0.368946266,24923.3281
Northeast Raleigh,Raleigh,Wake,123,1,3070.10779,7537.597604,0.755011283,55095.47051,2802.611518,3294.507159,0.537859612,38910.31757,3091.252697,3963.823138,0.415608147,38269.50768
Northwest Raleigh,Raleigh,Wake,90,1,3089.141815,6839.778863,0.547522291,61895.58403,2056.952239,3734,0.754551585,39115,2335.263677,4103,0.569922699,34497
Northwoods Estate,Winston-Salem,Forsyth,5289,0,1378,3423,0.7915,40139,1656,5107.884395,0.366845451,33832.77929,1632,5207.366587,0.287595323,30436.95917
Oak Forest,Charlotte,Mecklenburg,1835,1,3083.231113,8059.167975,0.573416797,40940.10129,2014.484528,4013.116272,0.915054486,88898.27431,2056.781536,7135.070187,0.878097,88419.66111
Oakdale North,Charlotte,Mecklenburg,5246,0,2760.857998,6667.663956,0.878702555,56230.93282,3098.934385,7377.803226,0.80743996,55234.09208,3365.926696,9242.392396,0.718300592,56336.27919
Oakdale South,Charlotte,Mecklenburg,2613,0,2752.373402,6647.31302,0.878359355,56130.55323,3090.023288,2628.685418,0.416018401,35032.01653,3356.055569,2945.870329,0.369834393,46875.67649
Oakhurst,Charlotte,Mecklenburg,4035,0,2506.659906,4777.952523,0.333195505,33777.34087,1670.237121,3186.812698,0.420501464,25715.50576,1667.286958,3354.10733,0.467069437,26171.80359
Oaklawn,Charlotte,Mecklenburg,5330,0,1708.335966,3966.002063,0.51062592,27369.75141,1767.428623,2901.13432,0.476742362,22987.75173,1772.623291,3314.442609,0.329308808,25595.46792
Ogburn Station,Winston-Salem,Forsyth,4708,0,1650.044794,4130.425723,0.62895164,30222.92447,1659.394609,8129.519188,0.869381231,67550.15134,1607.512373,7836.29824,0.83659057,73702.09378
Ogden,Wilmington,New Hanover,1646,0,3970.666069,9072.680284,0.893173429,65689.17585,3442.496914,3733.558371,0.754090794,39129.01791,3493.966104,4102.109128,0.571191401,34475.61907
Old Sherwood Forest,Winston-Salem,Forsyth,4932,0,1441.717557,3583.931576,0.947444591,85533.10466,1464.371639,6550,0.851804124,83382,1408.475081,5840,0.831618335,73289
Olde Providence North,Charlotte,Mecklenburg,3168,0,2702.87601,5759.090089,0.63083518,68045.35494,3195.772834,5000.100664,0.8475997,95297.28142,3078.87776,5542.654771,0.762415286,91346.60909
Olde Providence South,Charlotte,Mecklenburg,2266,0,1746.205084,4284.949428,0.78452131,87017.29895,2047.134522,6090.424562,0.6546547,52655.20977,2091.892088,5741.20765,0.620432204,55374.45402
Olde Whitehall,Charlotte,Mecklenburg,3350,0,4359.099835,10970.4813,0.758737108,55942.94848,2172.600601,4456.406355,0.401151052,38116.86557,2273.652312,4721.35713,0.362236317,43610.49813
Oxford Hunt,Charlotte,Mecklenburg,2519,0,1898.077768,3893.912466,0.51521526,71949.59783,1984.074848,3435.875295,0.710984452,64265.9066,2030.159729,3974.374634,0.802215963,73313.67181
Park Crossing,Charlotte,Mecklenburg,4309,0,4184.162503,8186.079037,0.534199997,50464.75317,1746.504216,3501.641139,0.729535482,65652.03564,1764.485373,4066.539957,0.8237326,75704.05813
Pawtuckett,Charlotte,Mecklenburg,2988,0,2588.183768,6768.071264,0.858031757,46061.44601,2147.47064,3505.722161,0.849642071,82432.38793,2272.284463,3483.566698,0.803715357,94435.90243
Peace Haven,Winston-Salem,Forsyth,4364,0,1570.502481,3598.995516,0.848804855,78449.20124,1592.561743,8051,0.885034014,64397,1538.747759,7431,0.910973085,67110
Piper Glen Estates,Charlotte,Mecklenburg,1451,0,1505.687839,3795.124785,0.858243641,94712.23064,1612.362135,6526,0.931306751,85492,1668.936378,6777,0.914122137,91741
Plaza Midwood,Charlotte,Mecklenburg,3100,0,1783.461858,3744.894238,0.573553394,42619.6769,1788.180007,2756.34179,0.64342086,41540.37287,1747.977495,2956.760699,0.535675389,31801.09051
Plaza-Eastway,Charlotte,Mecklenburg,1641,0,2499.061416,6537.010685,0.654898943,40120.54404,1216.54848,4090.137217,0.417573022,34014.37331,1233.249581,3888.830737,0.410425785,27492.81774
Plaza-Shamrock,Charlotte,Mecklenburg,3174,0,1827.31335,4259.125222,0.468513494,32573.44168,1926.371798,6637.521439,0.681264408,55592.12691,1903.69177,7314.582719,0.661055747,56846.55596
Ponderosa-Wingate,Charlotte,Mecklenburg,4382,0,1492.657048,3664.180788,0.359263615,23295.23514,1910.506003,4933.89949,0.644542492,65302.93696,1925.869337,4985.765827,0.683109189,72060.02389
Prosperity Church Road,Charlotte,Mecklenburg,554,1,4145.985372,10159.7108,0.705148823,72063.42849,2216.917794,3577.068156,0.903525938,143606.3275,2339.253249,4042.522576,0.902149589,142443.72
Providence Crossing,Charlotte,Mecklenburg,2783,0,1350.593328,4300.970865,0.993057693,115590.4007,1190.399035,7667.69372,0.937152944,94700.50973,1396.695963,7814.550229,0.916943907,88064.67822
Providence Estates East,Charlotte,Mecklenburg,2672,0,1189.756425,3348.506464,0.995457617,90886.90924,2553.735919,5999.315369,0.638026988,71026.51752,2795.432808,6428.88949,0.631369489,73229.67168
Providence Park,Charlotte,Mecklenburg,3594,0,2706.687271,5678.549829,0.62250696,69040.92142,2803.629831,4637.294539,0.942601446,122622.0018,2816.191414,5143.361971,0.873424726,116660.1371
Providence Plantation,Charlotte,Mecklenburg,1337,0,2447.002199,7287.966034,0.955292346,110288.8435,1628.337599,3239.253913,0.439685365,25887.09889,1801.484835,3766.012516,0.387314889,26569.21336
Provincetowne,Charlotte,Mecklenburg,776,0,2070.837603,5456.764318,0.94669911,80766.68242,1954.524879,3612.95329,0.867157858,71836.52903,2254.466306,3721.393958,0.846171538,85542.17076
Quail Hollow,Charlotte,Mecklenburg,2992,0,1768.754932,3834.65775,0.860193105,65977.15702,1810.310032,6256,0.451099672,35551,1792.705628,6157,0.370922271,30055
Rain Tree,Charlotte,Mecklenburg,3038,0,1537.754276,3301.22263,0.721120374,79263.75028,1573.159583,3977.274997,0.915792182,89101.04848,1592.232627,7116.74986,0.878799494,88660.63369
Reid Park,Charlotte,Mecklenburg,4494,1,1496.478744,3666.501917,0.362030854,23335.19155,1917.588042,4067.653121,0.436972874,27503.96155,1934.559728,3668.701236,0.416629941,27668.41483
Rockwell Park-Hemphill Heights,Charlotte,Mecklenburg,2626,0,3407.087193,6977.556266,0.524364333,47225.14917,1866.231668,3456.450948,0.544264416,49742.3038,2089.660847,4035.510359,0.398608771,40219.99508
Salem Woods,Winston-Salem,Forsyth,4759,0,2982,6665,0.5876,43767,2707.117558,5144,0.271581895,33399,2933.845551,6087,0.24042879,27557
Sardis Forest,Charlotte,Mecklenburg,2749,0,1682.126461,4509.977509,0.952328275,90867.3808,1780.776238,4108.149612,0.858269346,69885.50956,1831.207164,4248.918869,0.807849315,57535.14782
Sardis Woods,Charlotte,Mecklenburg,2615,1,1798.842391,4232.468795,0.847968228,58761.09254,1873.83655,4440.123206,0.44359119,39089.63184,1910.232133,4723.425677,0.402865088,45963.08118
Sedgefield,Charlotte,Mecklenburg,3448,0,1663.695746,3061.504628,0.426790224,39708.14568,1712.849326,5590,0.513513514,51656,1770.423914,6451,0.563261164,55860
Seven Eagles,Charlotte,Mecklenburg,3337,0,1654.255584,3932.657295,0.620116061,75594.62496,1816.684135,2667.605259,0.434310273,27359.97159,1899.895244,3498.657302,0.330762318,43458.55899
Shannon Park,Charlotte,Mecklenburg,1614,0,2096.490517,5429.855934,0.618318321,36473.02511,2292.006953,4145.807939,0.738014723,69377.17676,2361.912712,4368.474941,0.720545481,67791.70676
Sharon Woods,Charlotte,Mecklenburg,2718,0,2001.919585,4125.721736,0.755000652,66017.66613,2011.232649,3615.581781,0.855148813,56553.83283,2035.934492,4073.707062,0.737230254,39508.34918
Sherwood Forest,Charlotte,Mecklenburg,2991,0,2723.473458,5719.667743,0.621369655,69095.51056,2800.888517,2036.441033,0.617497809,80208.50366,2813.885863,3382.15407,0.651255017,94688.60654
Silver Lake,Wilmington,New Hanover,1578,1,2913.790086,6458.100996,0.765946143,43297.98717,3157.016308,2335.933153,0.894339177,63797.83676,3595.687033,2425.361568,0.76250108,53046.96569
Silverwood,Charlotte,Mecklenburg,5072,0,2511.349991,6652.837886,0.927402025,57528.04136,918.2633678,3668.666256,0.605855727,66616.3324,963.4663843,3833.993121,0.57161742,76160.94057
Six Forks,Raleigh,Wake,1101,0,1889.566889,4296.218718,0.649221613,58633.74901,1835.657437,4801.257753,0.524790262,32611.05879,1850.842164,5631.609578,0.52997993,25120.82281
Slater Rd-Hamilton Circle,Charlotte,Mecklenburg,3390,0,1826.811006,4485.162912,0.701280195,39541.31559,2893.550588,2854.152466,0.470002087,22576.36546,3050.378775,3259.421858,0.319093504,25187.02521
Smallwood,Charlotte,Mecklenburg,4798,0,1411.894367,3617.497818,0.342153493,21728.6932,1182.177501,3418.442036,0.215446301,18840.0786,1259.73902,4073.93574,0.275671505,23205.10954
South Central,Raleigh,Wake,1449,1,1304.656284,3727.888072,0.242135589,19646.24646,1275.779234,3809.426364,0.322995353,35982.59481,1323.272106,3696.045197,0.259481295,34843.60485
South Fork,Winston-Salem,Forsyth,2372,0,2232.164612,3759.893114,0.310440164,37517.56045,2320.270036,2826.656258,0.373349051,28180.91122,2247.386632,3592.636397,0.364606651,28404.29579
South Park,Winston-Salem,Forsyth,5106,0,976.7452818,2154.654186,0.661895786,35274.13878,1170.822477,5587.503562,0.513055581,51614.8223,1002.785033,6446.689553,0.562547349,55813.48987
South Peace Haven,Winston-Salem,Forsyth,3806,0,2242.763994,4206.155236,0.613747993,46776.53649,3162.596491,7428.410036,0.674315979,46159.59996,3100.514811,8495.975149,0.626989765,44019.0615
South Raleigh,Raleigh,Wake,946,0,2052.427764,5230.698671,0.63656937,37979.27719,2771.482137,5418,0.741203704,42477,3076.01444,6646,0.850378034,46726
Southeast Raleigh,Raleigh,Wake,683,1,2043.229717,5333.798864,0.813102505,49431.83056,2915.325164,1737.621972,0.237937819,20106.12467,3390.500365,1758.318647,0.189084451,21543.90915
Southwest Raleigh,Raleigh,Wake,559,1,1983.953164,4510.093707,0.42966893,31903.0579,2987.959806,4810.094134,0.529659815,32890.68191,3244.242463,5632.901581,0.534544977,25368.90807
Starmount,Charlotte,Mecklenburg,3407,0,1016.212264,2731.321968,0.568828262,46899.53328,1136.269054,3663.03086,0.260655839,33908.27654,1324.997867,3363.628914,0.278389827,34732.46197
Starmount Forest,Charlotte,Mecklenburg,1638,0,3377.221897,6685.564355,0.238822042,40387.08372,1659.433577,5104.045254,0.847259999,77474.93685,1654.542678,6595.924542,0.677585987,76335.9744
Steele Creek,Charlotte,Mecklenburg,3960,0,2152.390981,4936.411902,0.932020953,67288.42758,1750.501949,5736,0.900143335,70724,2285.387304,5838,0.911398041,75706
Sterling,Charlotte,Mecklenburg,3467,0,3727.092976,7968.531621,0.51921853,46546.00772,1162.092365,3597,0.483171279,25443,1245.275297,4218,0.439490446,23673
Stonebridge,Winston-Salem,Forsyth,5298,0,3062.529787,6793.24207,0.887367074,69234.51424,2158.555266,5611.216123,0.83125315,74858.96651,2070.65726,5546.558409,0.711541464,66832.45029
Stonehaven,Charlotte,Mecklenburg,1940,0,2453.177146,6044.120827,0.765030686,65552.8269,2455.349423,5146.255642,0.269514896,33317.04997,2516.008794,6098.756229,0.238180253,27517.05571
Sunset Road,Charlotte,Mecklenburg,4214,0,2860.457623,7928.465246,0.879450768,55670.55066,1573.733652,4963,0.757264193,71903,1683.837874,4864,0.823262154,80286
Third Ward,Charlotte,Mecklenburg,3912,0,1413.942028,2404.379659,0.39145456,36184.74389,2537.977834,4548.171115,0.565827593,29631.11546,2707.130995,4905.034357,0.499057889,33669.55171
Thomasboro-Hoskins,Charlotte,Mecklenburg,2107,0,1562.929153,3825.174405,0.579333373,31329.76131,1874.25817,6857.015437,0.710187562,51801.56255,1913.84429,6899.27693,0.675103267,48333.90161
Todd Park,Charlotte,Mecklenburg,5196,0,2080.018918,5054.04772,0.885796814,48327.92464,2380.858323,3853.397225,0.615420979,43854.70939,2599.108344,4249.590482,0.471699336,40849.6289
Toddville Road,Charlotte,Mecklenburg,1542,1,3788.543164,9354.973123,0.595374591,41461.3159,1692.171784,4105.525296,0.402461681,53387.72041,1759.452533,5043.272607,0.303786735,61167.35249
Touchstone Village-Elm Lane,Charlotte,Mecklenburg,4029,0,3445.874362,7482.390674,0.656992188,53479.32798,2269.794417,7039.437526,0.70131374,53078.75078,2389.907344,6008.009245,0.69907883,58639.1072
Town and Country Estates,Winston-Salem,Forsyth,3929,1,3095.198182,6488.543041,0.675483748,49129.77366,3203.11549,3747.657476,0.532203007,73477.79399,3230.895913,5999.622682,0.53214729,92443.16764
Tryon Hills,Charlotte,Mecklenburg,4298,1,1024.723935,3041.386434,0.34969181,26256.11668,1048.32835,5898.716719,0.546347527,49711.72889,881.7544582,6147.810245,0.404183482,43508.68185
Union Ridge,Winston-Salem,Forsyth,5151,0,1767.628765,4092.705905,0.833163445,40382.41179,2410.973046,4395.463293,0.169547661,49237.77286,2503.918524,5555.178923,0.173223663,45094.75833
Wade,Raleigh,Wake,1176,0,1915.627258,4320.17481,0.522879302,55396.17205,2185.451874,4823.009098,0.565130369,36331.45989,2088.467697,4960.076107,0.430520144,38434.22098
Washington Heights,Charlotte,Mecklenburg,4437,1,1243.032302,3163.793726,0.575143712,24724.56913,1224.797165,1587.327118,0.584641493,44072.19205,1414.268852,1626.775274,0.513435664,35356.06259
Washington Park,Winston-Salem,Forsyth,4833,0,988.7424951,2215.335283,0.62488983,33276.28261,985.9135789,6881.686777,0.810879609,71676.21333,933.9543991,6913.724014,0.73105008,64567.39513
Waughtown,Winston-Salem,Forsyth,3890,0,2257.850882,5400.491616,0.467197919,29862.41168,1588.983442,4154.492693,0.4157218,44716.38392,1664.267603,4477.372299,0.331632254,61099.36309
Wendover-Sedgewood,Charlotte,Mecklenburg,3451,0,1908.717309,3777.598233,0.628612632,56606.52099,2543.206319,2668.858036,0.43413829,27363.57423,2476.456873,3500.657704,0.330740705,43469.5787
Wesley Heights,Charlotte,Mecklenburg,4571,0,1425.957462,3809.874238,0.34893297,26835.90839,1511.124053,2889.734362,0.830606247,90839.81956,1714.705947,3185.183099,0.80918723,85852.20468
Wessex Square,Charlotte,Mecklenburg,2019,0,2021.958159,4959.612885,0.826334785,76226.2348,1195.279219,4294.936535,0.325211584,21878.26755,1329.021011,4882.668529,0.325440184,23264.65415
West Highlands,Winston-Salem,Forsyth,4906,0,1244.620312,2445.484057,0.584749065,50612.18972,1211.637364,6882,0.810912835,71680,1013.420637,6914,0.731078905,64569
West Polo Road,Winston-Salem,Forsyth,5351,0,3103.771252,6497.401962,0.675318307,49085.69962,3206.636738,4412.540838,0.281180643,42103.70214,3235.770926,5373.994924,0.302592101,48712.09615
West Raleigh,Raleigh,Wake,271,1,2707.470453,6414.871555,0.343815096,41281.78542,2079.971391,2847.451535,0.37202887,28058.92185,2375.098604,3616.549439,0.363799384,28355.41546
West Sugar Creek-W T Harris Bl,Charlotte,Mecklenburg,1381,0,3394.78108,6933.02542,0.522797775,46939.51469,1945.077334,5005.423266,0.545866884,39274.697,2090.447911,6373.50936,0.514998405,35023.36123
Westchester,Charlotte,Mecklenburg,2995,0,3781.132028,9333.181795,0.596157224,41491.43955,1514.463938,2193.451136,0.234780946,33797.26584,1503.207282,2118.607843,0.286363267,26899.08948
Westerly Hills,Charlotte,Mecklenburg,4659,1,2021.340379,4617.88352,0.561457898,29260.02788,2085.351166,4367.10866,0.581421955,30644.11723,1953.478319,3810.53733,0.511251998,38042.49006
Weston,Winston-Salem,Forsyth,5308,0,1937.276084,4584.127061,0.750937632,38092.55501,2530.147117,2830.470337,0.474952943,36051.89571,2640.517623,3725.455134,0.357049384,31282.57751
Whiteoak,Charlotte,Mecklenburg,3654,0,3391.212936,8401.626743,0.683225701,92772.00484,992.6641563,6354.583024,0.821862074,48830.13871,1137.834595,6455.578646,0.794793412,47700.15861
Wildwood,Charlotte,Mecklenburg,5193,0,2582.942174,6753.904948,0.858870813,46099.41174,2140.91269,4809.709717,0.529862469,32902.4965,2265.50539,5631.850112,0.534707308,25381.57277
Wilmore,Charlotte,Mecklenburg,4733,0,1528.276554,3839.856975,0.412411914,22117.2438,1536.007448,5415.119491,0.742371037,42654.50918,1651.041434,6647.187119,0.849700386,46884.71604
Windsor Park,Charlotte,Mecklenburg,921,0,2578.983087,6415.469792,0.446412926,36442.92581,1556.630506,6549.45391,0.851825479,83379.98314,1682.157053,5839.674695,0.831629551,73289.5655
Yorkmount,Charlotte,Mecklenburg,1010,1,2833.101512,7053.8245,0.612329889,46395.44294,2945.420103,3806.408355,0.74680767,57775.73521,3251.976497,4570.408825,0.663585082,64631.51697
Yorkshire,Charlotte,Mecklenburg,796,0,2785.609717,6817.853393,0.670505851,59034.97859,1556.513988,3938.172608,0.84622953,67824.2732,1804.356159,4584.182728,0.795327836,80009.0338
